Num (Col 1),Num (Col 2),Num (Col 3),Num (Col 4),Num (Col 5),Num (Col 6),Num (Col 7),Num (Col 8),Num (Col 9),Num (Col 10),Num (Col 11),Num (Col 12),Num (Col 13),Num (Col 14),Num (Col 15),Num (Col 16),Num (Col 17),Num (Col 18),Num (Col 19),Num (Col 20),Num (Col 21),Num (Col 22),Num (Col 23),Num (Col 24),Num (Col 25),Num (Col 26),Num (Col 27),Num (Col 28),Num (Col 29),Num (Col 30),Num (Col 31),Num (Col 32),Num (Col 33),Num (Col 34),Num (Col 35),Num (Col 36),Num (Col 37),Num (Col 38),Num (Col 39),Num (Col 40),Num (Col 41),Num (Col 42),Num (Col 43),Num (Col 44),Num (Col 45),Num (Col 46),Num (Col 47),Num (Col 48),Num (Col 49),Num (Col 50),Num (Col 51),Num (Col 52),Num (Col 53),Num (Col 54),Num (Col 55),Num (Col 56),Num (Col 57),Num (Col 58),Num (Col 59),Num (Col 60),Num (Col 61),Num (Col 62),Num (Col 63),Num (Col 64),Num (Col 65),Num (Col 66),Num (Col 67),Num (Col 68),Num (Col 69),Num (Col 70),Num (Col 71),Num (Col 72),Num (Col 73),Num (Col 74),Num (Col 75),Num (Col 76),Num (Col 77),Num (Col 78),Num (Col 79),Num (Col 80),Num (Col 81),Num (Col 82),Num (Col 83),Num (Col 84),Num (Col 85),Num (Col 86),Num (Col 87),Num (Col 88),Num (Col 89),Num (Col 90),Num (Col 91),Num (Col 92),Num (Col 93),Num (Col 94),Num (Col 95),Num (Col 96),Num (Col 97),Num (Col 98),Num (Col 99),Num (Col 100),Num (Col 101),Num (Col 102),Num (Col 103),Nom (Col 104),Nom (Col 105),Target (Col 106)
-0.084655146,2.13121799,-0.171829698,-0.326190139,-0.000319491,0.144455625,0.087086438,-0.303794831,0.412048192,-0.073176398,-0.074073538,0.258987608,0.040253229,0.890809545,0.076662679,1.321688851,0.047794987,0.219531767,-0.113550155,0.791364715,2.562399197,0.011789706,-0.883543832,0.264847718,0.659632801,0.054921969,0.091851613,-0.268296722,-0.196536898,-0.314854477,0.512425964,0.667488583,-0.271780069,0.531109176,-5.349993336,0.733231266,0.136064015,-0.036933017,0.104287846,0.03815812,0.053290617,0.368502084,0.073934471,-0.065360107,-0.696424474,1.360870636,-1.0662163,-0.53749303,-0.266899471,0.362338942,0.459319942,-0.439015075,0.430893999,-7.382512638,-1.118468133,0.156722545,-0.061539992,0.282088788,-0.403703907,0.338465308,0.039089307,-0.744389953,0.283578253,0.188914469,-0.254230139,0.539510584,0.040898176,-0.004063477,1.521222277,-0.413235113,-0.82500028,-1.426261597,0.138145744,-0.465947269,-0.690645486,-0.260413636,-0.083119631,0.301485914,0.074643224,1.288436888,0.19020292,0.018665827,-0.394498089,0.329103349,-0.405150504,0.084805522,-0.454193093,0.580183975,-0.521584521,0.050618135,0.06177803,-0.074791195,0.253218961,-0.337617605,-0.042256983,-1.494550908,0.114744208,-0.135426048,-0.050870674,0.193000885,0.087634629,-0.054778909,-0.007546877,0,0,0
0.643173112,-0.751328996,-0.236048255,1.174646937,-0.000823288,-0.125453814,0.034030396,0.864493074,-0.700017713,-0.240640151,0.380896182,0.036324938,-0.455554736,-0.273032355,0.045613365,-1.850798004,0.124530893,0.000527935,0.046926609,0.168382349,-0.713235209,-0.485123248,0.229082923,0.074478188,-0.623975147,0.172676078,-0.062709389,-0.013695713,-0.569940844,-0.00377346,1.438085245,-1.05366995,0.028493396,0.192634037,-3.104133759,0.044859977,-0.444908063,0.013631828,-0.063951659,-0.037659077,-0.035809041,0.460358728,-0.028979713,0.338306154,0.67655706,0.344972559,0.096978088,0.085098865,0.934449002,-0.943787512,-0.021888013,0.228730148,-0.333359941,11.85936903,0.418070318,-0.084093522,-0.418162224,0.895657212,-0.47068723,0.535394864,-1.051537639,-0.471248535,-0.780838194,-0.265168115,-0.109973128,-0.640866599,-0.285811376,0.000267406,-0.02799647,-2.136851055,0.368890178,-0.244378271,-0.152661413,2.026924856,-0.574613372,-0.159719203,-0.549523005,-0.38425486,-0.695705821,1.21651731,0.279616235,-0.331254047,-0.129032253,-0.265657394,1.550136223,-0.192448889,0.032968884,-1.369565404,0.28469446,-0.225734239,0.055469616,-0.196396887,0.296726559,-0.851845887,-0.047764972,0.10182362,-0.181447738,0.30708022,0.61270385,-0.216340663,-0.024698828,-0.092635966,1.652914469,0,1,1
-0.051910278,0.010735139,1.638139891,-0.119294114,NaN,-0.899343552,-0.013657562,0.074228344,NaN,-1.569416429,-0.582605487,-0.069447452,0.353308414,-0.462386945,-0.054220104,-1.363657277,0.116901408,-0.094951149,-0.041667688,0.133832471,0.506937085,0.039945628,0.410009189,-0.09582665,-0.096163142,0.171880678,0.023061331,-0.067299449,-0.208884905,-0.077810699,0.464013088,NaN,-0.181084213,0.667857052,0.069635795,-0.024723055,0.153020011,0.030610559,-0.11366447,0.010606729,-0.156073371,1.69557314,-0.098412212,NaN,-0.981646603,0.226267713,-0.515475161,-0.118264908,1.21784354,-0.364617443,-0.820249022,-0.55353759,0.100496589,NaN,0.0524004,-0.122885459,0.536882698,NaN,-0.528245026,-0.005569574,1.079346478,-0.384321671,0.517231563,-0.422023668,-0.056099277,NaN,-0.468537547,-0.009060561,-0.264678396,-0.527284847,0.173372932,-0.205713285,-0.177330201,-0.190261605,0.136158008,0.174801843,-0.383665981,0.791065388,-0.293218645,NaN,-0.416214383,-0.114169872,-0.093504092,-0.031270018,NaN,-0.560744379,0.180242272,-1.288081188,0.459857798,-0.294856791,-0.468065982,0.146820783,NaN,NaN,0.003506974,0.346366028,-0.153672524,NaN,0.159101949,-0.141394906,0.322496249,-0.10486454,-0.492070793,0,0,0
-0.098586186,-0.60353093,-0.076169539,-0.377650119,-0.000504371,-0.076184491,-0.030290338,-0.223201632,NaN,-0.461735001,-0.649489374,-0.144400558,NaN,0.871221502,0.169967541,-0.093759396,-0.130678199,NaN,-0.007408561,-0.026736825,-0.859351908,-0.354963964,-0.294438322,-0.165329166,0.93456613,-0.283875926,-0.02748976,-0.226715588,1.060897345,2.095409753,-0.781038102,NaN,-0.11432492,-0.095447762,2.596002569,0.172130629,0.141510176,-0.110067513,-0.378168449,NaN,-0.120897039,-0.224920256,0.642287468,0.196830437,-0.469213376,0.877117244,-1.059955436,-0.404441664,NaN,0.530308562,0.759473345,1.504242479,-1.147582915,-1.206050616,0.621698569,0.205440348,0.039495114,-0.396444553,-0.614731036,-0.33162662,0.570379462,0.650948025,-0.143515284,0.451222399,0.426847895,-1.015415888,-0.419483036,-0.003287218,-0.748620916,NaN,-0.207090027,NaN,-0.076717748,-0.095411619,-0.610881345,-0.044879334,-0.005904742,-0.026685143,0.760129878,-1.848695447,-0.143860597,0.146572704,0.246350933,-0.114088092,NaN,0.011820379,0.014533858,1.78281239,-0.355149609,0.482618125,0.206882165,0.007524584,-1.203800658,3.838244237,-0.001946258,-0.205830195,-0.091119662,-0.034074879,-0.381031116,0.653445104,NaN,0.025986421,0.292180312,0,1,1
-0.141406239,1.927514189,-0.179517331,0.089274304,-0.001223553,0.795250754,-0.087905189,0.190578732,-0.035043179,0.22382564,-0.483727203,0.050639995,0.033954094,0.582683158,0.086894659,1.698762222,-0.104404531,0.292996108,-0.177532632,0.234594331,-0.423144532,-0.20055635,-0.112511255,0.403248677,0.804252969,0.145911019,0.089818807,-0.789163771,0.001264827,0.797116144,0.075692848,-0.96026037,-0.436478628,0.108226981,-2.349702393,-0.662629376,-0.237075592,-0.074534705,0.330218277,-0.022046015,0.11038533,-0.431878423,0.139497759,0.044749078,-0.768809887,-0.459441527,0.080589473,-0.471703969,-0.292860842,1.621803142,-0.470767348,-0.079362162,0.804137819,-5.928327792,-1.010250293,0.158841379,-0.321576806,-1.372098619,0.174087347,-0.502332335,0.475075153,0.09715328,-0.073664614,-0.848824483,0.179782706,-0.123813331,0.021414172,0.006150721,0.528872185,-0.55545671,-0.115447274,0.421365573,0.137552478,-0.398049711,0.689390721,-0.318127578,0.083687777,0.109680224,0.350114454,-0.341664418,-0.082832086,0.168358346,-0.005277525,0.050944709,-2.448661043,-0.062755928,-0.223489033,1.231432286,-0.442124598,0.528651868,-0.588718164,-0.130042768,0.213165786,-0.804059675,0.019703615,-0.411205384,-0.027360918,-0.255542732,-0.167955427,0.147798811,-0.571172582,0.041109007,-0.051709545,0,0,0
-0.68574982,NaN,0.176031047,-0.077221089,-0.000580091,0.488012859,0.129529106,-0.488338377,0.231548043,1.012864315,-0.453034188,NaN,-0.269333085,0.045725741,-0.06520283,-0.685020654,NaN,-0.070684568,-0.007739101,0.561456377,0.017106054,0.308878584,-0.444169963,0.534428797,0.458174056,0.124277987,-0.24970492,NaN,-0.219785229,0.506181375,-0.353289973,0.658398498,-0.006675989,0.092692456,1.826993385,-0.406843852,-0.06437504,-0.040638576,-0.131093984,0.021371596,NaN,0.741161249,0.474097536,-0.172400168,0.434617933,-0.296653743,-0.209478225,0.344625449,-0.015105376,-0.039545723,1.521024826,0.700571706,0.239881913,-0.701436549,-0.033051913,-0.097167223,0.216335477,NaN,0.312660598,-0.557497898,-0.408457058,0.914699999,0.102785911,0.328666717,0.305149134,-0.188497022,NaN,0.000257221,-1.182786253,NaN,-0.531044398,-1.213635537,0.147619895,-1.54831535,0.480071697,-0.102037229,0.093420715,-0.089510926,NaN,NaN,-0.203306795,0.126668078,-0.192277398,0.223958272,-0.007676403,0.431776104,-0.011984434,NaN,-0.071610819,0.082356891,1.109694507,-0.040946351,0.03208809,5.562218592,-0.005905443,-0.389566887,-0.05896105,-0.016990069,-0.657586455,NaN,NaN,-0.019968397,-0.183327177,0,0,0
0.25112518,0.802054982,0.143356993,0.038876105,0.001208162,0.033443648,-0.071950287,0.240972765,-0.895483531,0.247304067,0.268169702,-0.206912715,0.014225205,-0.296709974,0.008541426,1.777451622,-0.103823059,0.104297477,0.010003781,-0.471612966,-0.621226887,-0.045453268,0.215560024,-0.188765571,-0.239642101,-0.204713722,-0.069468312,-0.460135691,-0.472464544,0.205598628,0.234015484,-0.078091433,0.764182906,0.302481221,4.420899689,-0.290356381,0.33419488,-0.184204093,0.058726034,0.000360708,-0.419640539,0.445389483,-0.003593349,-0.645176045,-0.031322737,-0.937951633,-0.420992443,0.230463755,-0.719497307,-1.103882893,-0.67656741,-0.319969914,-0.804799643,8.441499069,-0.043275493,-0.006184311,0.09520985,0.460794989,-0.715731798,-0.684195616,0.56198029,-0.415150119,-0.386580157,0.229456395,0.56088679,0.199731631,-0.744741221,-0.004344572,0.107346631,1.113775387,0.190461191,0.966144055,-0.052925634,0.5292527,-0.131316163,-0.030684688,0.069337866,-0.658214006,-0.88016263,0.137166492,-0.2859766,0.251547696,1.165287355,-0.130860047,0.29244303,-0.116533131,0.405758831,0.920151356,-0.183733648,-0.27056319,-0.82688264,-0.101838909,-0.852955809,-0.493549335,0.119926809,0.467222841,-0.247563625,0.045744431,0.176287543,0.067710561,-1.408162001,0.044701106,0.686015088,0,0,0
0.073912202,0.38964495,-0.130204098,NaN,-0.000164184,-0.020465237,NaN,0.558705154,-0.133524176,-0.376716344,NaN,NaN,-0.128421004,-0.05584936,NaN,0.816850102,-0.31015832,-0.035229205,-0.210332584,-0.418444499,-0.147268474,0.65654861,0.084251308,0.141129273,-0.169921381,-0.053831804,0.089085559,-0.588367187,-0.143141944,NaN,0.724858843,0.31422713,0.853263304,-0.298071451,2.266653729,-0.009431247,0.301916607,0.067379216,-0.093832981,0.125987835,-0.10403955,0.463924077,0.014227019,-0.050552492,0.379913173,-0.235712359,-1.197848987,-0.057613883,0.286457817,0.089902192,NaN,0.158232268,-0.480594899,2.242395524,-0.594290611,-0.124249685,0.247843479,0.286348627,1.384894564,-0.198678771,-0.288511194,-0.535994902,NaN,-0.103642232,0.56069043,0.175183394,0.500987554,0.000385899,-0.399824313,3.250830876,0.304340435,-0.696710168,0.11579538,1.741522258,0.271335201,0.044822069,0.119848017,-0.211561585,-1.114915671,NaN,-0.10026155,0.18712369,-0.434999027,-0.240110235,0.325778612,0.20546568,0.228553942,0.169427923,1.622119905,0.145354186,0.03945759,0.457186943,-0.024429364,-0.063973223,0.012238005,0.394050593,-0.131995401,0.14834155,-0.130137735,0.07975659,-0.393594264,0.019148505,NaN,0,0,0
-0.328083643,0.770860935,-0.085078191,-0.25090763,-0.001112736,0.436586636,0.012665093,-0.229388322,1.076234771,0.305207425,NaN,-0.019767241,-0.128904998,0.271670303,-0.030812437,-0.327581048,NaN,0.163167213,-0.04583103,0.178037981,0.94656599,NaN,0.855374543,0.023679131,NaN,0.061234851,0.099915029,0.558709413,-0.075204968,-0.370192836,-0.844807692,-0.687454664,-0.087784739,NaN,-1.904472434,-0.261275951,-0.305298945,0.554329993,0.050955492,0.12940136,0.143812511,0.251579606,-0.931328139,0.377620443,-0.743205732,-0.670597775,-0.101216666,0.846400542,0.145617977,0.004494904,-0.721829608,-0.194646969,-0.57665173,4.647171998,0.67985048,-0.009310255,0.210003573,-0.085646849,NaN,0.132551332,0.806303102,0.108946621,0.272902608,NaN,NaN,NaN,0.677287589,0.010038445,-0.528347645,-0.726866641,0.553729483,-0.285908999,-0.073560728,NaN,-0.595771815,-0.038549502,0.191604286,0.260294194,0.924768923,-1.322695992,-0.622583502,-0.099393715,NaN,0.333161529,-0.4882984,-0.115372282,0.360786256,-0.357298292,-0.752005449,-0.54423066,1.093693756,-0.273482111,0.867854335,-1.893646159,-0.056660433,-0.31627161,0.075908616,-0.028025812,NaN,-0.029543371,1.228938263,0.032658974,-0.194100182,0,0,0
0.013913847,-1.583544737,0.213624077,1.165136874,0.000230907,1.149442507,-0.038596422,-0.058868056,-0.188760189,1.535633234,0.731785795,-0.035705604,-0.32311445,-0.639936281,-0.017087909,-0.168568331,-0.230120398,-0.134777131,-0.039518142,-0.212375133,0.085124967,-0.646586308,0.199667674,-0.169181776,-0.613321733,0.101972124,0.085451588,-0.198782002,-0.06052085,-0.127116221,2.674199137,-0.058780235,0.148522064,-0.028824011,4.56552633,0.161835165,-0.065401799,0.035480062,-0.178773597,-0.172376354,-0.366662712,0.713385139,-0.264558873,0.043681958,-0.502793537,0.741358579,0.077639891,0.693957444,-0.184082576,-0.834367233,-0.205856852,-0.099923567,1.500600455,0.286920206,-0.497250561,-0.07834629,-0.174570381,0.236759034,-0.252504781,-0.163380068,0.458771875,0.617597428,0.150708633,0.688935898,0.124696412,-0.616864187,-0.281232151,-0.006148211,-0.221373951,-0.580299474,0.174374126,-0.335348843,0.025169241,0.307863132,0.460371247,-0.02083641,0.493932182,-0.5927271,-0.686537579,0.461808848,-0.432331652,0.31755752,-0.109833092,0.593554818,2.402973694,0.059838293,0.214066937,0.065597283,-0.075208697,-0.888027246,-0.620847579,0.003062812,-0.71350095,0.593631252,0.046673215,-0.554209549,0.081491216,0.060796126,0.370829023,0.000575427,0.233250362,0.174023902,0.448006841,0,0,0
